CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
CE 330,Geotechnical Engineering II,6,prerequiste,CE 323,All Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- B.Des.
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Preparatory Course
- Visiting Students
",Not Required,,
CE 330,Geotechnical Engineering II,6,prerequiste,CE 323,Self Department (Department offering this Course),"- B.Tech.
",Not Required,,"- CE - Civil Engg.
"
CE 403,Design of Structures III,6,prerequiste,,All Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- Master of Arts  By Research
- Master of Science By Research
- MBA
- M.Des
- MDP
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- MPP+Ph.D Dual Degree
- M.S. By Research (Exit)
- M.Sc. + M.Phil
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
CE 433,Water Supply and Waste Water Engineering,6,prerequiste,CE 228 AND CE 223,All Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- M.S. By Research (Exit)
- M.Sc. + M.Phil
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Not Required,,
CE 434,Traffic Analysis and Design,6,prerequiste,CE 415,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Not Required,,
CE 434,Traffic Analysis and Design,6,prerequiste,CE 415,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
CE 469,Advanced Solid Mechanics,6,prerequiste,CE 221,All Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- B.Des.
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
CE 605,Applied Statistics,6,prerequiste,,All Department,"- M.Tech
- Ph.D.
",Required,,
CE 639,Green Building Design,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
CE 639,Green Building Design,6,prerequiste,,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Required,,
CE 657,Computing in Civil Engineering,6,prerequiste,,Self Department (Department offering this Course),"- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree Programme
- IDDDP
- Master of Science By Research
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
",Required,,
CE 659,Advanced Surveying,6,prerequiste,CE 630 AND CE 705,All Department,"- 2 Yr M.Sc
- 5 Year Integrated M.Sc.
- B.Des.
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- D.I.I.T (Exit Degree)
- Dual Degree (B.Des.+M.Des.)
- Dual Degree (MA+Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree Programme
- EMBA
- Four Year B.S.
- IDDDP
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- MPP
- M.S. By Research (Exit)
- M.Sc. + M.Phil
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- M-UDE
- Ph.D.
- Preparatory Course
- Visiting Students
",Required,,
