Course Code,Course Name,Instructor Name
CL 244,Introduction to Numerical Analysis ,
CL 246,Heat Transfer ,
CL 249,Computational Methods Lab ,Swati Bhattacharya
CL 250,Chemical Engineering Thermodynamics II ,
CL 253,Chemical Engineering Thermodynamics ,
CL 254,Process Fluid Mechanics ,Amol  SubhedarJason Ryan Picardo
CL 255,Chemical Engineering Thermodynamics I ,
CL 260,Molecular and Statistical Thermodynamics ,
CL 302,Process Control ,Ravindra D. Gudi
CL 305,Solid Mechanics ,
CL 306,Chemical Processes ,Rahul  NabarVinjamur Madhu
CL 308,Overview of Indian Chemical Industry  ,
CL 310,Mass Transfer II ,
CL 317,Mass Transfer Operations ,
CL 319,Mass Transfer I ,
CL 324,Chemical Reaction Engineering ,
CL 325,Chemical Reaction Engineering II ,
CL 326,Material Science ,
CL 327,Chemical Process Design I ,Bharatkumar  SutharBhartiya S.Sanjay Mahajani
CL 329,Process Control ,Ravindra D. GudiSayantan  Dutta
CL 333,Chemical Engineering Lab. II ,Khakhar D.V.Ratul DasguptaSonali  Das
CL 335,Chemical Engineering Lab. III ,
CL 336,Advanced Transport Phenomena ,Tirumkudulu Mahesh
CL 405,Process Equipment Selection ,Yogendra Shastri
CL 407,Process Equipment Design ,
CL 409,Material Science ,Adhikari J.Rajdip Bandyopadhyaya
CL 419,Process Economics ,Juvekar V.A.Nanavati Hemant
CL 433,Chemical Engineering Lab IV ,Mehra A.Mukta TripathyOjus  MohanSantosh Noronha
CL 451,Chemical Process Design ,
CL 452,Process Design Project ,
CL 455,Design Lab I ,Moudgalya Kannan.Partha  S. Goswami
CL 601,Advanced Transport Phenomena ,Sameer Ralph Jadhav
CL 602,Mathematical and Statistical Methods in Chemical Engineering ,Rochish Thaokar
CL 603,Optimization ,Sujit S. Jogwar
CL 604,Process Plant Simulation ,
CL 605,Advanced Reaction Engineering ,Ganesh Viswanathan
CL 607,Advanced Thermodynamics ,Ateeque Malani
CL 608,Fluidization Engineering ,
CL 609,Pollution Control Systems ,
CL 610,Experimental Methods ,
CL 611,Electrochemical Reaction Engineering ,
CL 612,Multiphase Flow Systems ,
CL 613,Special Topics in Complex Fluids ,
CL 614,Petroleum Refinery Engg. II ,
CL 615,Polymer Reaction Engineering ,
CL 618,Catalysis and Surface Chemistry ,Sonali  Das
CL 620,Petroleum Refining Engineering I ,
CL 624,Polymer Processing ,
CL 625,Process Modelling and Identification ,
CL 644,Modeling and Analysis of Bioprocesses ,
CL 645,Polymer Dynamics ,
CL 647,Advanced Process Optimization ,
CL 649,Reaction Engineering in Dispersed Phase Systems ,
CL 650,Process Monitoring and Fault Diagnosis ,
CL 651,Rheology of Complex Fluids ,
CL 653,State Estimation:  Theory and Applications ,
CL 656,Colloid and Interfacial Engineering ,
CL 657,Computational Flow Modelling ,
CL 659,Bioprocess Principles ,
CL 662,Introduction to Computational Biology ,Wangikar P.
CL 663,Introduction to Systems Biology ,Supreet Saini
CL 664,Polymer Thermodynamics ,Nanavati Hemant
CL 665,Sustainable Engineering Principles ,Yogendra Shastri
CL 669,Product Research & Development ,
CL 671,Multiscale Simulations ,
CL 672,Applied Multivariate Statistics in Chemical Engineering ,
CL 673,Turbulent Multiphase Flow ,Partha  S. Goswami
CL 676,Modeling and Simulation ,
CL 678,Techno-Commerical Aspects of Fine Chemicals ,
CL 682,Computer Aided Design & Engineering ,
CL 684,Advanced Process Synthesis ,
CL 686,Advanced Process Control ,
CL 688,Artificial Intelligence in Process Engineering ,Santosh Noronha
CL 692,Digital Control ,
CL 694,Seminar ,
CL 701,Computational Methods in Chemical Engineering ,Sachin Patwardhan
CL 702,Lecture Series ,Swati Bhattacharya
CL 704,Lecture Series ,
CL 706,Molecular Principles in Chemical Engineering  ,
CL 707,Processing with Supercritical Fluids ,
CL 708,Introduction to Granular Mechanics ,Khakhar D.V.
CL 710,Aerosol Technology ,
CL 712,Process Data Analysis and Design of Experiments ,
CL 713,Introduction to Network Analysis ,
CL 714,Nonlinear Systems Analysis ,
CL 716,Modelling  Chemical and Biiological Patterns ,
CL 717,Evolutionary Dynamics ,
CL 718,Introduction to Cell  Mechanics ,Abhijit Majumder
CL 720,Introduction to Bio-membranes  ,
CL 722,Introduction to Interfacial Waves ,Ratul Dasgupta
CL 724,Technology Design and Development Laboratory ,
CL 792,Communication Skills -II ,
CL 797,I Stage Project ,
CL 798,II Stage Project ,
CL 899,Communication Skills ,Supreet Saini
CLS601,Seminar ,
CH 001,Preparatory Chemistry I ,
CH 002,Preparatory Chemistry II ,
CH 011,Preparatory Chemistry Laboratory I ,
CH 022,Chemistry Lab ,
CH 103,Chemistry ,
CH 104,Chemistry II ,
CH 105,Organic & Inorganic Chemistry ,Chandra M. R. VollaDeepti  KalsiNandita MadhavanR. B. SunojR. MurugavelSanjog Sunil NagarkarSantosh J. GharpureSrinivasan  Ramakrishnan
CH 107,Physical Chemistry ,G. Naresh PatwariRahul  MaitraRajarshi ChakrabartiSandip Kar
CH 109,Stimulating Topics in Chemistry ,
CH 110,Interpretative Spectroscopy ,
CH 111,Chemistry ,Chandra M. R. VollaDeepti  KalsiG. Naresh PatwariNandita MadhavanRahul  MaitraRajarshi ChakrabartiR. B. SunojR. MurugavelSandip KarSanjog Sunil NagarkarSantosh J. GharpureSrinivasan  Ramakrishnan
CH 117,Chemistry Lab ,A.ChowdhuryArnab  DuttaDeepti  KalsiGhosh PrasenjitG. Naresh PatwariRahul  MaitraSanjog Sunil NagarkarSubramaniam Chandramouli
CH 202,Transition Metal Chemistry ,
CH 206,Principles of Chemical Analysis (Inorganic Chemistry Lab I) ,
CH 207,Data Analysis and Interpretation ,
CH 209,Basic Organic Chemistry ,Venkateswarlu  Yarlagadda
CH 210,Inorganic Chemistry I ,
CH 211,Physical Chemistry I ,
CH 215,Physical Chemistry Lab I ,
CH 216,Thermodynamics and Chemical Kinetics ,
CH 218,Organic Chemistry Lab I ,
CH 219,Inorganic Chemistry Lab-I ,Ghosh Prasenjit
CH 220,Reactions of Carbonyl Compounds ,
CH 221,Organic Chemistry I ,
CH 222,Organic Chemistry II ,
